Col_1,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
0,Andre Drummond,2012,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10.83,3.39
1,Andrew Nicholson,2012,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,11.89,3.67
2,Anthony Davis,2012,1,81.25,82.5,89.5,108,35.5,138.0933852,30.12790698,132.6143411,222,7.9,9,8.5,11.29330709,3.32229249
3,Arnett Moultrie,2012,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,11.32,3.22
4,Austin Rivers,2012,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,11.54,3.32
5,Bernard James,2012,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,11.84,3.4
6,Bradley Beal,2012,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,10.95,3.28
7,Damian Lillard,2012,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,11.15,3.34
8,Darius Johnson-Odom,2012,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,10.76,3.21
9,Darius Miller,2012,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,11.34,3.31
10,Dion Waiters,2012,4,74.5,76,79.25,98,35.5,138.0933852,30.12790698,132.6143411,221,8.5,8.5,9.5,11.29330709,3.32229249
11,Doron Lamb,2012,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,11.12,3.41
12,Draymond Green,2012,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,11.01,3.4
13,Drew Gordon,2012,29,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,11.35,3.49
14,Fab Melo,2012,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,12.14,3.44
15,Festus Ezeli,2012,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,12.35,3.29
16,Harrison Barnes,2012,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,10.93,3.16
17,Henry Sims,2012,29,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,12.33,3.44
18,Hollis Thompson,2012,29,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,11.72,3.38
19,J'Covan Brown,2012,29,73,74.25,77.25,96,29.5,125.5,26,122,202,12.5,7.75,8.25,11.68,3.47
20,JaMychal Green,2012,29,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,9.25,9.25,10.63,3.38
21,Jae Crowder,2012,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,11.45,3.37
22,Jared Cunningham,2012,24,75.5,77,78.5,98,35.5,138.0933852,30.12790698,132.6143411,188,3.6,8.25,9,11.29330709,3.32229249
23,Jared Sullinger,2012,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,12.77,3.81
24,Jeff Taylor,2012,31,78,79.25,78.25,101.5,40,141.5,33.5,135,213,4.2,8.25,9.75,10.87,3.29
25,Jeremy Lamb,2012,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,10.98,3.25
26,John Henson,2012,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,11.29330709,3.32229249
27,John Jenkins,2012,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,11.36,3.37
28,Jordan Taylor,2012,29,73,74,75,92.5,36.5,129,33,125.5,193,5.5,8.25,9.5,10.57,3.19
29,Kendall Marshall,2012,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,12.03,3.23
30,Kevin Jones,2012,29,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,11.94,3.6
31,Kevin Murphy,2012,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,10.97,3.42
32,Khris Middleton,2012,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,11.45,3.47
33,Kim English,2012,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,10.59,3.33
34,Kris Joseph,2012,51,78,79,83,104,35,139,28.5,132.5,215,8.6,9,9,11.29330709,3.46
35,Kyle O'Quinn,2012,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,11.65,3.53
36,Marcus Denmon,2012,59,74.25,75.25,77,94.5,40,134.5,33.5,128,188,6.6,8.25,9.75,10.82,3.19
37,Marquis Teague,2012,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,10.65,3.19
38,Meyers Leonard,2012,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,11.34,3.41
39,Michael Kidd-Gilchrist,2012,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,11.77,3.18
40,Mike Scott,2012,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,11.59,3.44
41,Miles Plumlee,2012,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,10.64,3.36
